basket_date,Daily_Sales
2019-05-20,1114
2019-05-21,977
2019-05-22,593
2019-05-23,600
2019-05-24,1287
2019-05-25,2473
2019-05-26,3390
2019-05-27,3478
2019-05-28,2708
2019-05-29,1016
2019-05-30,781
2019-05-31,792
2019-06-01,629
2019-06-02,567
2019-06-03,637
2019-06-04,612
2019-06-05,441
2019-06-06,405
2019-06-07,608
2019-06-08,744
2019-06-09,1081
2019-06-10,1011
2019-06-11,911
2019-06-12,644
2019-06-13,456
2019-06-14,831
2019-06-15,866
2019-06-16,794
2019-06-17,600
2019-06-18,740
2019-06-19,520
